id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
astropy-utils,astropy-utils,astropy-utils,Command line tools from astropy,,,1,1,,,,Section=science; Version=7.0.1-3,,,,,,,
python3-astropy,python3-astropy,python3-astropy,Core functionality for performing astrophysics with Python,,,1,1,,,,Section=python; Version=7.0.1-3,,,,,,,
python3:any,python3:any,python3:any,unknown,,,1,1,,,,missing in Packages file,,,,,,,
python3-configobj,python3-configobj,python3-configobj,simple but powerful config file reader and writer for Python 3,,,1,1,,,,Section=python; Version=5.0.9-1,,,,,,,
python3-pytest,python3-pytest,python3-pytest,"Simple, powerful testing in Python3",,,1,1,,,,Section=python; Version=8.3.5-2,,,,,,,
python3-pytest-astropy,python3-pytest-astropy,python3-pytest-astropy,Pytest dependencies for Astropy and affiliated packages,,,1,1,,,,Section=python; Version=0.11.0-1,,,,,,,
python3-ply-lex-3.10,python3-ply-lex-3.10,python3-ply-lex-3.10,unknown,,,1,1,,,,missing in Packages file,,,,,,,
python3-ply-yacc-3.10,python3-ply-yacc-3.10,python3-ply-yacc-3.10,unknown,,,1,1,,,,missing in Packages file,,,,,,,
python3,python3,python3,interactive high-level object-oriented language (default python3 version),,,1,1,,,,Section=python; Version=3.13.5-1,,,,,,,
python3-astropy-iers-data,python3-astropy-iers-data,python3-astropy-iers-data,IERS Earth Rotation and Leap Second tables for Astropy,,,1,1,,,,Section=python; Version=0.2025.1.6.0.33.42-1,,,,,,,
python3-erfa,python3-erfa,python3-erfa,Python bindings for ERFA routines,,,1,1,,,,Section=python; Version=2.0.1.5+ds-1+b1,,,,,,,
python3-numpy,python3-numpy,python3-numpy,Python library for numerical computations (Python 3),,,1,1,,,,Section=python; Version=1:2.2.4+ds-1,,,,,,,
python3-numpy2-abi0,python3-numpy2-abi0,python3-numpy2-abi0,unknown,,,1,1,,,,missing in Packages file,,,,,,,
python3-packaging,python3-packaging,python3-packaging,core utilities for python3 packages,,,1,1,,,,Section=python; Version=25.0-1,,,,,,,
python3-yaml,python3-yaml,python3-yaml,YAML parser and emitter for Python3,,,1,1,,,,Section=python; Version=6.0.2-1+b2,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libexpat1,libexpat1,libexpat1,XML parsing C library - runtime library,,,1,1,,,,Section=libs; Version=2.7.1-2,,,,,,,
libwcs8,libwcs8,libwcs8,Implementation of the FITS WCS standard,,,1,1,,,,Section=libs; Version=8.4+ds-1,,,,,,,
libjs-jquery,libjs-jquery,libjs-jquery,JavaScript library for dynamic web applications,,,1,1,,,,Section=javascript; Version=3.6.1+dfsg+~3.5.14-1,,,,,,,
libjs-jquery-datatables,libjs-jquery-datatables,libjs-jquery-datatables,jQuery plug-in that makes nice tables from different data sources,,,1,1,,,,Section=javascript; Version=1.11.5+dfsg-2,,,,,,,
python3-scipy,python3-scipy,python3-scipy,scientific tools for Python 3,,,1,1,,,,Section=python; Version=1.15.3-1,,,,,,,
,,,,,,,,,,,,python3-astropy,astropy-utils,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3-astropy,astropy-utils,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3:any,astropy-utils,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3-configobj,python3-astropy,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3-pytest,python3-astropy,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3-pytest-astropy,python3-astropy,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3-ply-lex-3.10,python3-astropy,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3-ply-yacc-3.10,python3-astropy,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3,python3-astropy,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3,python3-astropy,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3-astropy-iers-data,python3-astropy,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3-erfa,python3-astropy,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3-numpy,python3-astropy,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3-numpy2-abi0,python3-astropy,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3-packaging,python3-astropy,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3-yaml,python3-astropy,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3:any,python3-astropy,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,python3-astropy,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libexpat1,python3-astropy,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libwcs8,python3-astropy,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libjs-jquery,python3-astropy,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,libjs-jquery-datatables,python3-astropy,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,python3-scipy,python3-astropy,Recommends,#333,1,Recommends,{}
