id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
chromium,chromium,chromium,web browser,,,1,1,,,,Section=web; Version=139.0.7258.154-1~deb13u1,,,,,,,
libasound2t64,libasound2t64,libasound2t64,shared library for ALSA applications,,,1,1,,,,Section=libs; Version=1.2.14-1,,,,,,,
libatk-bridge2.0-0t64,libatk-bridge2.0-0t64,libatk-bridge2.0-0t64,AT-SPI 2 toolkit bridge - shared library,,,1,1,,,,Section=libs; Version=2.56.2-1,,,,,,,
libatk1.0-0t64,libatk1.0-0t64,libatk1.0-0t64,ATK accessibility toolkit,,,1,1,,,,Section=libs; Version=2.56.2-1,,,,,,,
libatspi2.0-0t64,libatspi2.0-0t64,libatspi2.0-0t64,Assistive Technology Service Provider Interface - shared library,,,1,1,,,,Section=libs; Version=2.56.2-1,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libcairo2,libcairo2,libcairo2,Cairo 2D vector graphics library,,,1,1,,,,Section=libs; Version=1.18.4-1+b1,,,,,,,
libcups2t64,libcups2t64,libcups2t64,Common UNIX Printing System(tm) - Core library,,,1,1,,,,Section=libs; Version=2.4.10-3,,,,,,,
libdav1d7,libdav1d7,libdav1d7,fast and small AV1 video stream decoder (shared library),,,1,1,,,,Section=libs; Version=1.5.1-1,,,,,,,
libdbus-1-3,libdbus-1-3,libdbus-1-3,simple interprocess messaging system (library),,,1,1,,,,Section=libs; Version=1.16.2-2,,,,,,,
libdouble-conversion3,libdouble-conversion3,libdouble-conversion3,routines to convert IEEE floats to and from strings,,,1,1,,,,Section=libs; Version=3.3.1-1,,,,,,,
libexpat1,libexpat1,libexpat1,XML parsing C library - runtime library,,,1,1,,,,Section=libs; Version=2.7.1-2,,,,,,,
libflac14,libflac14,libflac14,Free Lossless Audio Codec - runtime C library,,,1,1,,,,Section=libs; Version=1.5.0+ds-2,,,,,,,
libfontconfig1,libfontconfig1,libfontconfig1,generic font configuration library - runtime,,,1,1,,,,Section=libs; Version=2.15.0-2.3,,,,,,,
libfreetype6,libfreetype6,libfreetype6,"FreeType 2 font engine, shared library files",,,1,1,,,,Section=libs; Version=2.13.3+dfsg-1,,,,,,,
