id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
ffmpeg,ffmpeg,ffmpeg,"Tools for transcoding, streaming and playing of multimedia files",,,1,1,,,,Section=video; Version=7:7.1.1-1+b1,,,,,,,
libavcodec61,libavcodec61,libavcodec61,FFmpeg library with de/encoders for audio/video codecs - runtime files,,,1,1,,,,Section=libs; Version=7:7.1.1-1+b1,,,,,,,
libavdevice61,libavdevice61,libavdevice61,FFmpeg library for handling input and output devices - runtime files,,,1,1,,,,Section=libs; Version=7:7.1.1-1+b1,,,,,,,
libavfilter10,libavfilter10,libavfilter10,FFmpeg library containing media filters - runtime files,,,1,1,,,,Section=libs; Version=7:7.1.1-1+b1,,,,,,,
libavformat61,libavformat61,libavformat61,FFmpeg library with (de)muxers for multimedia containers - runtime files,,,1,1,,,,Section=libs; Version=7:7.1.1-1+b1,,,,,,,
libavutil59,libavutil59,libavutil59,FFmpeg library with functions for simplifying programming - runtime files,,,1,1,,,,Section=libs; Version=7:7.1.1-1+b1,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libplacebo349,libplacebo349,libplacebo349,GPU-accelerated video/image rendering primitives (shared library),,,1,1,,,,Section=libs; Version=7.349.0-3,,,,,,,
libpostproc58,libpostproc58,libpostproc58,FFmpeg library for post processing - runtime files,,,1,1,,,,Section=libs; Version=7:7.1.1-1+b1,,,,,,,
libsdl2-2.0-0,libsdl2-2.0-0,libsdl2-2.0-0,Simple DirectMedia Layer,,,1,1,,,,Section=libs; Version=2.32.4+dfsg-1,,,,,,,
libswresample5,libswresample5,libswresample5,"FFmpeg library for audio resampling, rematrixing etc. - runtime files",,,1,1,,,,Section=libs; Version=7:7.1.1-1+b1,,,,,,,
libswscale8,libswscale8,libswscale8,FFmpeg library for image scaling and various conversions - runtime files,,,1,1,,,,Section=libs; Version=7:7.1.1-1+b1,,,,,,,
libaom3,libaom3,libaom3,AV1 Video Codec Library,,,1,1,,,,Section=libs; Version=3.12.1-1,,,,,,,
libcairo2,libcairo2,libcairo2,Cairo 2D vector graphics library,,,1,1,,,,Section=libs; Version=1.18.4-1+b1,,,,,,,
libcodec2-1.2,libcodec2-1.2,libcodec2-1.2,Codec2 runtime library,,,1,1,,,,Section=libs; Version=1.2.0-3,,,,,,,
libdav1d7,libdav1d7,libdav1d7,fast and small AV1 video stream decoder (shared library),,,1,1,,,,Section=libs; Version=1.5.1-1,,,,,,,
libglib2.0-0t64,libglib2.0-0t64,libglib2.0-0t64,GLib library of C routines,,,1,1,,,,Section=libs; Version=2.84.4-3~deb13u1,,,,,,,
libgsm1,libgsm1,libgsm1,Shared libraries for GSM speech compressor,,,1,1,,,,Section=libs; Version=1.0.22-1+b2,,,,,,,
libjxl0.11,libjxl0.11,libjxl0.11,"JPEG XL Image Coding System - ""JXL"" (shared libraries)",,,1,1,,,,Section=libs; Version=0.11.1-4,,,,,,,
liblzma5,liblzma5,liblzma5,XZ-format compression library,,,1,1,,,,Section=libs; Version=5.8.1-1,,,,,,,
libmp3lame0,libmp3lame0,libmp3lame0,MP3 encoding library,,,1,1,,,,Section=libs; Version=3.100-6+b3,,,,,,,
libopenjp2-7,libopenjp2-7,libopenjp2-7,JPEG 2000 image compression/decompression library,,,1,1,,,,Section=libs; Version=2.5.3-2.1~deb13u1,,,,,,,
libopus0,libopus0,libopus0,Opus codec runtime library,,,1,1,,,,Section=libs; Version=1.5.2-2,,,,,,,
librav1e0.7,librav1e0.7,librav1e0.7,Fastest and safest AV1 encoder - shared library,,,1,1,,,,Section=libs; Version=0.7.1-9+b2,,,,,,,
librsvg2-2,librsvg2-2,librsvg2-2,SAX-based renderer library for SVG files (runtime),,,1,1,,,,Section=libs; Version=2.60.0+dfsg-1,,,,,,,
libshine3,libshine3,libshine3,Fixed-point MP3 encoding library - runtime files,,,1,1,,,,Section=libs; Version=3.1.1-2+b2,,,,,,,
libsnappy1v5,libsnappy1v5,libsnappy1v5,fast compression/decompression library,,,1,1,,,,Section=libs; Version=1.2.2-1,,,,,,,
libspeex1,libspeex1,libspeex1,Speex codec library (runtime library),,,1,1,,,,Section=libs; Version=1.2.1-3,,,,,,,
libsvtav1enc2,libsvtav1enc2,libsvtav1enc2,Scalable Video Technology for AV1 (libsvtav1enc shared library),,,1,1,,,,Section=libs; Version=2.3.0+dfsg-1,,,,,,,
libtheoradec1,libtheoradec1,libtheoradec1,Theora Video Compression Codec (shared library - libtheoradec),,,1,1,,,,Section=libs; Version=1.2.0~alpha1+dfsg-6,,,,,,,
libtheoraenc1,libtheoraenc1,libtheoraenc1,Theora Video Compression Codec (shared library - libtheoraenc),,,1,1,,,,Section=libs; Version=1.2.0~alpha1+dfsg-6,,,,,,,
libtwolame0,libtwolame0,libtwolame0,MPEG Audio Layer 2 encoding library,,,1,1,,,,Section=libs; Version=0.4.0-2+b2,,,,,,,
libva2,libva2,libva2,Video Acceleration (VA) API for Linux -- runtime,,,1,1,,,,Section=libs; Version=2.22.0-3,,,,,,,
libvorbis0a,libvorbis0a,libvorbis0a,decoder library for Vorbis General Audio Compression Codec,,,1,1,,,,Section=libs; Version=1.3.7-3,,,,,,,
libvorbisenc2,libvorbisenc2,libvorbisenc2,encoder library for Vorbis General Audio Compression Codec,,,1,1,,,,Section=libs; Version=1.3.7-3,,,,,,,
libvpl2,libvpl2,libvpl2,Intel Video Processing Library -- shared library,,,1,1,,,,Section=libs; Version=1:2.14.0-1+b1,,,,,,,
libvpx9,libvpx9,libvpx9,VP8 and VP9 video codec (shared library),,,1,1,,,,Section=libs; Version=1.15.0-2.1,,,,,,,
libwebp7,libwebp7,libwebp7,Lossy compression of digital photographic images (shared library),,,1,1,,,,Section=libs; Version=1.5.0-0.1,,,,,,,
libwebpmux3,libwebpmux3,libwebpmux3,Lossy compression of digital photographic images (libwebpmux library),,,1,1,,,,Section=libs; Version=1.5.0-0.1,,,,,,,
libx264-164,libx264-164,libx264-164,x264 video coding library,,,1,1,,,,Section=libs; Version=2:0.164.3108+git31e19f9-2+b1,,,,,,,
libx265-215,libx265-215,libx265-215,H.265/HEVC video stream encoder (shared library),,,1,1,,,,Section=libs; Version=4.1-2,,,,,,,
libxvidcore4,libxvidcore4,libxvidcore4,Open source MPEG-4 video codec (library),,,1,1,,,,Section=libs; Version=2:1.3.7-1+b2,,,,,,,
libzvbi0t64,libzvbi0t64,libzvbi0t64,Vertical Blanking Interval decoder (VBI) - runtime files,,,1,1,,,,Section=libs; Version=0.2.44-1,,,,,,,
zlib1g,zlib1g,zlib1g,compression library - runtime,,,1,1,,,,Section=libs; Version=1:1.3.dfsg+really1.3.1-1+b1,,,,,,,
libasound2t64,libasound2t64,libasound2t64,shared library for ALSA applications,,,1,1,,,,Section=libs; Version=1.2.14-1,,,,,,,
libavc1394-0,libavc1394-0,libavc1394-0,control IEEE 1394 audio/video devices,,,1,1,,,,Section=libs; Version=0.5.4-5+b2,,,,,,,
libcaca0,libcaca0,libcaca0,colour ASCII art library,,,1,1,,,,Section=libs; Version=0.99.beta20-5,,,,,,,
