id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,extra
"gem","gem","gem","Graphics Environment for Multimedia - Pure Data library","","","1","1","","","","Section=graphics; Version=1:0.94-8+b4","","","","","","","",""
"puredata-core","puredata-core","puredata-core","realtime computer music and graphics system - core components","","","1","1","","","","Section=sound; Version=0.55.2+ds-2","","","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","","","",""
"libfribidi0","libfribidi0","libfribidi0","Free Implementation of the Unicode BiDi algorithm","","","1","1","","","","Section=libs; Version=1.0.16-1","","","","","","","",""
"libftgl2","libftgl2","libftgl2","library to render text in OpenGL using FreeType","","","1","1","","","","Section=libs; Version=2.4.0-5","","","","","","","",""
"libgcc-s1","libgcc-s1","libgcc-s1","GCC support library","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","","","",""
"libgl1","libgl1","libgl1","Vendor neutral GL dispatch library -- legacy GL support","","","1","1","","","","Section=libs; Version=1.7.0-1+b2","","","","","","","",""
"libglu1-mesa","libglu1-mesa","libglu1-mesa","Mesa OpenGL utility library (GLU)","","","1","1","","","","Section=libs; Version=9.0.2-1.1+b3","","","","","","","",""
"libstdc++6","libstdc++6","libstdc++6","GNU Standard C++ Library v3","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","","","",""
"libxrender1","libxrender1","libxrender1","X Rendering Extension client library","","","1","1","","","","Section=libs; Version=1:0.9.12-1","","","","","","","",""
"libxxf86vm1","libxxf86vm1","libxxf86vm1","X11 XFree86 video mode extension library","","","1","1","","","","Section=libs; Version=1:1.1.4-1+b4","","","","","","","",""
"gem-doc","gem-doc","gem-doc","Graphics Environment for Multimedia (documentation)","","","1","1","","","","Section=doc; Version=1:0.94-8","","","","","","","",""
"gem-extra","gem-extra","gem-extra","Graphics Environment for Multimedia - extra objects","","","1","1","","","","Section=graphics; Version=1:0.94-8+b4","","","","","","","",""
"gem-plugin-assimp","gem-plugin-assimp","gem-plugin-assimp","Graphics Environment for Multimedia - Assimp support","","","1","1","","","","Section=graphics; Version=1:0.94-8+b4","","","","","","","",""
