id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
ghostscript,ghostscript,ghostscript,interpreter for the PostScript language and for PDF,,,1,1,,,,Section=text; Version=10.05.1~dfsg-1,,,,,,,
libgs10,libgs10,libgs10,interpreter for the PostScript language and for PDF - Library,,,1,1,,,,Section=libs; Version=10.05.1~dfsg-1,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libgs10-common,libgs10-common,libgs10-common,interpreter for the PostScript language and for PDF - common files,,,1,1,,,,Section=libs; Version=10.05.1~dfsg-1,,,,,,,
poppler-data,poppler-data,poppler-data,encoding data for the poppler PDF rendering library,,,1,1,,,,Section=misc; Version=0.4.12-1,,,,,,,
libcups2t64,libcups2t64,libcups2t64,Common UNIX Printing System(tm) - Core library,,,1,1,,,,Section=libs; Version=2.4.10-3,,,,,,,
libfontconfig1,libfontconfig1,libfontconfig1,generic font configuration library - runtime,,,1,1,,,,Section=libs; Version=2.15.0-2.3,,,,,,,
libfreetype6,libfreetype6,libfreetype6,"FreeType 2 font engine, shared library files",,,1,1,,,,Section=libs; Version=2.13.3+dfsg-1,,,,,,,
libidn12,libidn12,libidn12,"GNU Libidn library, implementation of IETF IDN specifications",,,1,1,,,,Section=libs; Version=1.43-1,,,,,,,
libijs-0.35,libijs-0.35,libijs-0.35,IJS raster image transport protocol: shared library,,,1,1,,,,Section=libs; Version=0.35-15.2,,,,,,,
libjbig2dec0,libjbig2dec0,libjbig2dec0,JBIG2 decoder library - shared libraries,,,1,1,,,,Section=libs; Version=0.20-1+b3,,,,,,,
libjpeg62-turbo,libjpeg62-turbo,libjpeg62-turbo,libjpeg-turbo JPEG runtime library,,,1,1,,,,Section=libs; Version=1:2.1.5-4,,,,,,,
liblcms2-2,liblcms2-2,liblcms2-2,Little CMS 2 color management library,,,1,1,,,,Section=libs; Version=2.16-2,,,,,,,
libopenjp2-7,libopenjp2-7,libopenjp2-7,JPEG 2000 image compression/decompression library,,,1,1,,,,Section=libs; Version=2.5.3-2.1~deb13u1,,,,,,,
libpaper2,libpaper2,libpaper2,Paper sizes catalogue,,,1,1,,,,Section=libs; Version=2.2.5-0.3+b2,,,,,,,
libpng16-16t64,libpng16-16t64,libpng16-16t64,PNG library - runtime (version 1.6),,,1,1,,,,Section=libs; Version=1.6.48-1,,,,,,,
libtiff6,libtiff6,libtiff6,Tag Image File Format (TIFF) library,,,1,1,,,,Section=libs; Version=4.7.0-3,,,,,,,
libx11-6,libx11-6,libx11-6,X11 client-side library,,,1,1,,,,Section=libs; Version=2:1.8.12-1,,,,,,,
libxt6t64,libxt6t64,libxt6t64,X11 toolkit intrinsics library,,,1,1,,,,Section=libs; Version=1:1.2.1-1.2+b2,,,,,,,
zlib1g,zlib1g,zlib1g,compression library - runtime,,,1,1,,,,Section=libs; Version=1:1.3.dfsg+really1.3.1-1+b1,,,,,,,
libgcc-s1,libgcc-s1,libgcc-s1,GCC support library,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
libidn2-0,libidn2-0,libidn2-0,Internationalized domain names (IDNA2008/TR46) library,,,1,1,,,,Section=libs; Version=2.3.8-2,,,,,,,
,,,,,,,,,,,,libgs10,ghostscript,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,ghostscript,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgs10-common,libgs10,Depends,#333,1,Depends,{}
,,,,,,,,,,,,poppler-data,libgs10,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libgs10,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libcups2t64,libgs10,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libfontconfig1,libgs10,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libfreetype6,libgs10,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libidn12,libgs10,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libijs-0.35,libgs10,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libjbig2dec0,libgs10,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libjpeg62-turbo,libgs10,Depends,#333,1,Depends,{}
,,,,,,,,,,,,liblcms2-2,libgs10,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libopenjp2-7,libgs10,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libpaper2,libgs10,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libpng16-16t64,libgs10,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libtiff6,libgs10,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libx11-6,libgs10,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libxt6t64,libgs10,Depends,#333,1,Depends,{}
,,,,,,,,,,,,zlib1g,libgs10,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgcc-s1,libc6,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libidn2-0,libc6,Recommends,#333,1,Recommends,{}
