id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
libsigc++-2.0-0v5,libsigc++-2.0-0v5,libsigc++-2.0-0v5,type-safe Signal Framework for C++ - runtime,,,1,1,,,,Section=libs; Version=2.12.1-3,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libgcc-s1,libgcc-s1,libgcc-s1,GCC support library,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
libstdc++6,libstdc++6,libstdc++6,GNU Standard C++ Library v3,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
libidn2-0,libidn2-0,libidn2-0,Internationalized domain names (IDNA2008/TR46) library,,,1,1,,,,Section=libs; Version=2.3.8-2,,,,,,,
gcc-14-base,gcc-14-base,gcc-14-base,"GCC, the GNU Compiler Collection (base package)",,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
,,,,,,,,,,,,libc6,libsigc++-2.0-0v5,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgcc-s1,libsigc++-2.0-0v5,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libstdc++6,libsigc++-2.0-0v5,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgcc-s1,libc6,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libidn2-0,libc6,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,gcc-14-base,libgcc-s1,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libgcc-s1,Depends,#333,1,Depends,{}
,,,,,,,,,,,,gcc-14-base,libstdc++6,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libstdc++6,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgcc-s1,libstdc++6,Depends,#333,1,Depends,{}
