id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
libpresage-data,libpresage-data,libpresage-data,intelligent predictive text entry platform (data files),,,1,1,,,,Section=libs; Version=0.9.1-2.6,,,,,,,
presage,presage,presage,intelligent predictive text entry platform (tools and demos),,,1,1,,,,Section=misc; Version=0.9.1-2.6+b2,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libgcc-s1,libgcc-s1,libgcc-s1,GCC support library,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
libncurses6,libncurses6,libncurses6,shared libraries for terminal handling,,,1,1,,,,Section=libs; Version=6.5+20250216-2,,,,,,,
libpresage1v5,libpresage1v5,libpresage1v5,intelligent predictive text entry platform (shared library),,,1,1,,,,Section=libs; Version=0.9.1-2.6+b2,,,,,,,
libsqlite3-0,libsqlite3-0,libsqlite3-0,SQLite 3 shared library,,,1,1,,,,Section=libs; Version=3.46.1-7,,,,,,,
libstdc++6,libstdc++6,libstdc++6,GNU Standard C++ Library v3,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
libtinfo6,libtinfo6,libtinfo6,shared low-level terminfo library for terminal handling,,,1,1,,,,Section=libs; Version=6.5+20250216-2,,,,,,,
,,,,,,,,,,,,presage,libpresage-data,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,libc6,presage,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgcc-s1,presage,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libncurses6,presage,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libpresage1v5,presage,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libsqlite3-0,presage,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libstdc++6,presage,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libtinfo6,presage,Depends,#333,1,Depends,{}
