id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,extra
"wget","wget","wget","retrieves files from the web","","","1","1","","","","Section=web; Version=1.25.0-2","","","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","","","",""
"libgnutls30t64","libgnutls30t64","libgnutls30t64","GNU TLS library - main runtime library","","","1","1","","","","Section=libs; Version=3.8.9-3","","","","","","","",""
"libidn2-0","libidn2-0","libidn2-0","Internationalized domain names (IDNA2008/TR46) library","","","1","1","","","","Section=libs; Version=2.3.8-2","","","","","","","",""
"libnettle8t64","libnettle8t64","libnettle8t64","low level cryptographic library (symmetric and one-way cryptos)","","","1","1","","","","Section=libs; Version=3.10.1-1","","","","","","","",""
"libpcre2-8-0","libpcre2-8-0","libpcre2-8-0","New Perl Compatible Regular Expression Library- 8 bit runtime files","","","1","1","","","","Section=libs; Version=10.46-1~deb13u1","","","","","","","",""
"libpsl5t64","libpsl5t64","libpsl5t64","Library for Public Suffix List (shared libraries)","","","1","1","","","","Section=libs; Version=0.21.2-1.1+b1","","","","","","","",""
"libuuid1","libuuid1","libuuid1","Universally Unique ID library","","","1","1","","","","Section=libs; Version=2.41-5","","","","","","","",""
"zlib1g","zlib1g","zlib1g","compression library - runtime","","","1","1","","","","Section=libs; Version=1:1.3.dfsg+really1.3.1-1+b1","","","","","","","",""
"ca-certificates","ca-certificates","ca-certificates","Common CA certificates","","","1","1","","","","Section=misc; Version=20250419","","","","","","","",""
"libgcc-s1","libgcc-s1","libgcc-s1","GCC support library","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","","","",""
"libgmp10","libgmp10","libgmp10","Multiprecision arithmetic library","","","1","1","","","","Section=libs; Version=2:6.3.0+dfsg-3","","","","","","","",""
"libhogweed6t64","libhogweed6t64","libhogweed6t64","low level cryptographic library (public-key cryptos)","","","1","1","","","","Section=libs; Version=3.10.1-1","","","","","","","",""
"libp11-kit0","libp11-kit0","libp11-kit0","library for loading and coordinating access to PKCS#11 modules - runtime","","","1","1","","","","Section=libs; Version=0.25.5-3","","","","","","","",""
"libtasn1-6","libtasn1-6","libtasn1-6","Manage ASN.1 structures (runtime)","","","1","1","","","","Section=libs; Version=4.20.0-2","","","","","","","",""
"libunistring5","libunistring5","libunistring5","Unicode string library for C","","","1","1","","","","Section=libs; Version=1.3-2","","","","","","","",""
"publicsuffix","publicsuffix","publicsuffix","accurate, machine-readable list of domain name suffixes","","","1","1","","","","Section=net; Version=20250328.1952-0.1","","","","","","","",""
"openssl","openssl","openssl","Secure Sockets Layer toolkit - cryptographic utility","","","1","1","","","","Section=utils; Version=3.5.1-1","","","","","","","",""
"debconf","debconf","debconf","Debian configuration management system","","","1","1","","","","Section=admin; Version=1.5.91","","","","","","","",""
"","","","","","","","","","","","","wget","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","wget","libgnutls30t64","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","wget","libidn2-0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","wget","libnettle8t64","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","wget","libpcre2-8-0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","wget","libpsl5t64","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","wget","libuuid1","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","wget","zlib1g","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","wget","ca-certificates","Recommends","#333","1","Recommends","arrow","{}"
"","","","","","","","","","","","","libc6","libgcc-s1","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libc6","libidn2-0","Recommends","#333","1","Recommends","arrow","{}"
"","","","","","","","","","","","","libgnutls30t64","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libgnutls30t64","libgmp10","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libgnutls30t64","libhogweed6t64","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libgnutls30t64","libidn2-0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libgnutls30t64","libnettle8t64","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libgnutls30t64","libp11-kit0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libgnutls30t64","libtasn1-6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libgnutls30t64","libunistring5","Depends","#333","1","Depends","arrow","{}"
